Method,Path,Description,Path Params,Query Params,Request Body (JSON),Response,Notes
GET,/api/v1/health/,Health check,,,(none),"{status, services: {neo4j, postgres, openai}, checked_at}",Use to verify server + dependencies are up.
GET,/api/v1/report/stream,SSE: generate charts from an NL question,,"query (str required), project_type (str required ""NTM"" | ""AHLOB Modernization"" | ""Both""), user_id (str required), max_charts (int default 3), thread_id (str required)",(none — query-string only),text/event-stream — events: stream_started → step (×3) → retrieval_done → traversal_done → complete {charts:[...], rationale, errors},Long-lived stream. First event gives query_id. `complete.charts[i]` is the full chart object (matches strict union).
GET,/api/v1/threads,List a user's chat threads,,"user_id (str required), limit (int default 50, ≤200)",(none),"{threads: [{thread_id, user_id, title, project_type, created_at, updated_at}]}",Sorted newest-first by updated_at.
GET,/api/v1/threads/{thread_id}/messages,Chat-style message list (alternating user/ai),thread_id,"user_id (str required — ownership), limit (int default 100, ≤500)",(none),"{thread_id, messages: [{role:""user""|""ai"", query_id, content, charts?:[], status?, created_at, duration_ms?}]}",403 if thread doesn't belong to user_id. Each turn = 2 messages paired by query_id.
GET,/api/v1/charts,List charts filtered by ONE scope,,"exactly ONE of: query_id (str) | user_id (str) | thread_id (str); limit (int default 100, ≤500)",(none),"{charts: [{chart_id, query_id, user_id, thread_id, chart_index, chart_type, title_text, subtitle_text, description, insight, script, colors, ..., chart: <Highcharts config>}]}",400 if more/less than one filter. `chart` key holds the reconstructed Highcharts config.
GET,/api/v1/charts/{chart_id},Fetch one chart by id,chart_id,,(none),Same row shape as /charts but single object,404 if chart_id not found.
POST,/api/v1/charts/edit,Apply NL edit to a saved chart,,,"{""chart_id"": ""<uuid>"", ""instruction"": ""make the bars red""}","{chart_id, chart: <patched Highcharts config>}",Edits are canvas-scoped via clone-on-add. Takes ~3-10s (LLM call).
GET,/api/v1/charts/edits,Audit log of edits for a chart,,"chart_id (str required), limit (int default 20, ≤100)",(none),"{chart_id, edits: [{edit_id, chart_id, instruction, created_at}]}",Newest first.
GET,/api/v1/charts/{chart_id}/download.pdf,Single chart → PDF,chart_id,user_id (str required — ownership),(none),application/pdf binary with Content-Disposition: attachment,Server-rendered chart (matplotlib) + insight callout. 403 if not owner.
GET,/api/v1/charts/{chart_id}/download.xlsx,Single chart → Excel,chart_id,user_id (str required — ownership),(none),application/vnd.openxmlformats-officedocument.spreadsheetml.sheet binary,"Two sheets: About (title/subtitle/insight) + Data (cartesian: category × series; pie: Name/Value/%)."
GET,/api/v1/canvas/drafts,List user's canvas drafts (slots inlined),,"user_id (str required), limit (int default 50, ≤200)",(none),"{drafts: [{draft_id, user_id, name, project_type, created_at, updated_at, slots: [...]}]}",Each draft's slots are inlined with reconstructed chart per slot.
POST,/api/v1/canvas/drafts,Create empty canvas draft,,,"{""user_id"":""u1"", ""name"":""Q2 Report"", ""project_type"":""NTM""}","{draft_id, user_id, name, project_type, created_at, updated_at, slots: []}",Returns the new draft with empty slots.
GET,/api/v1/canvas/drafts/{draft_id},Fetch one draft + its slots,draft_id,,(none),"Full draft object with slots[] inlined (each slot has chart, x, y, w, h, position, slot_id, chart_id, draft_id, created_at)",404 if not found.
PATCH,/api/v1/canvas/drafts/{draft_id},Rename or replace slot list,draft_id,,"{""name""?: ""string"", ""slots""?: [{""chart"": <Chart>, ""x"":0.0, ""y"":0.0, ""w"":0.5, ""h"":0.4}]}",Updated draft (same shape as GET),"Both fields optional. `slots` REPLACES the list. x/y/w/h FREE-FORM floats (fractions of canvas). Server auto-places if omitted. Clone-on-add on first-time use; re-uses chart_id on drag/move."
DELETE,/api/v1/canvas/drafts/{draft_id},Delete a draft (cascade slots),draft_id,,(none),"{draft_id, deleted: true}",404 on 2nd delete (idempotent via 404).
GET,/api/v1/canvas/drafts/{draft_id}/download.pdf,Canvas → multi-page PDF,draft_id,user_id (str required — ownership),(none),application/pdf binary,One chart per page (full page) + insight callout. 403 if not owner.
POST,/api/v1/templates,"Save canvas as template (upsert by draft_id)",,,"{""user_id"":""u1"", ""draft_id"":""<uuid>"", ""title""?:""string"", ""project_type""?:""string""}","{template_id, action: ""created""|""updated""}","Server pulls slots from the draft — no chart payload in the body. Upsert by draft_id → same draft never creates two templates. 403 if draft.user_id ≠ payload.user_id."
GET,/api/v1/templates,List user's templates (slim),,"user_id (str required), limit (int default 50, ≤200)",(none),"{templates: [{template_id, title}]}",Lightweight picker list — ID + title only.
GET,/api/v1/templates/{template_id},Fetch template (selections + charts inlined),template_id,user_id (str required — ownership),(none),"{template_id, user_id, source_draft_id, title, project_type, created_at, last_run_at, selections: [...]}",403 if template.user_id ≠ user_id.
POST,/api/v1/templates/{template_id}/run,Re-run scripts with today's data,template_id,,{} (empty body ok),"{template_id, selections: [...rebuilt...], charts: [...], script_reports: [{chart_id, status, error, elapsed_ms}], rendered_at}",Re-runs each selection's chart.script in the sandbox; rebuilds chart + LLM-refreshed insight. Bumps last_run_at. Takes ~2-10s.
DELETE,/api/v1/templates/{template_id},Delete template (cascade selections),template_id,,(none),"{template_id, deleted: true}",
GET,/api/v1/templates/{template_id}/download.pdf,"Re-run template + download PDF",template_id,user_id (str required — ownership),(none),application/pdf binary,Re-runs scripts (fresh data) then renders to PDF. One chart per page. 403 if not owner.
